лавочка ТО 3;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка ТО 3.jpg;Скамья 40*900*300 Стойка скамьи 410*250*70
лавочка ТЦ 5;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка ТЦ 5.jpg;Скамья 100*25*5 Стойка скамьи 50*25*5
лавочка ТО 4;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка ТО 4.jpg;Скамья 40*900*300 Стойка скамьи 410*150*150
лавочка ТО 5;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка ТО 5.jpg;Скамья 40*900*300 Стойка скамьи 410*150*150
лавочка TSK 50;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка TSK 50.jpg;Скамья 800*300*40 Опора скамьи 420*140*140
лавочка TSR 50;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка TSR 50.jpg;Скамья 800*300*40 Опора скамьи 420*140*140
лавочка TSK 90;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка TSK 90.jpg;Скамья 900*300*30 Опора скамьи 450*120*120   
лавочка Кен;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка Кен.jpg;Скамья 1000*400*40   Опора скамьи 420*140*140
лавочка Сигма ;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка Сигма.jpg;Скамья 1000*400*40   Опора скамьи 420*140*141  ( 2 штуки)
Лавочка  Ласточка ;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Лавочка  Ласточка.jpg;Скамья 160*160.Ножка 1 и 3:30*30*30.Ножка 2:40*40*30
Лавочка Тц 7;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Лавочка Тц 7.jpg;Скамья 90*30.Ножка 15*15*41
лавочка ТО 3 светло серая;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка ТО 3 светло серая.jpg;Скамья 40*900*300 Стойка скамьи 410*250*70
лавочка ТО 4 светло серая;http://pavelrai.ru/wp-content/uploads/catalog_parcer/лавочка ТО 4 светло серая.jpg;Скамья 40*900*300 Стойка скамьи 410*150*150
Лавочка  Ласточка светло серая;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Лавочка  Ласточка светло серая.jpg;Скамья 160*160.Ножка 1 и 3:30*30*30.Ножка 2:40*40*30
Лавочка Тц 12 светло серый ;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Лавочка Тц 12 светло серый.jpg;Скамья 130*30*4.Ножка 60*40*6
Лавочка Дж 11 светло серая;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Лавочка Дж 11 светло серая.jpg;Скамья 10*40*160.Ножка 30*40*40
Столик ТО 3;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик ТО 3.jpg;Столешница    30*600*500 Стойка столешницы 750*100*100
Столик ТЦ 5;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик ТЦ 5.jpg;Столешница    60*50*5 Стойка столешницы 70*10*10
Столик ТО 4;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик ТО 4.jpg;Столешница    30*600*600 Стойка столешницы 750*250*250 Стойка разборная
Столик ТО 5;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик ТО 5.jpg;Столешница    30*600*600 Стойка столешницы 750*250*250 Стойка разборная
Столик TSK 50;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик TSK 50.jpg;Столешница    500*500*30 Опора столешницы 750*150*150 
Столик TSR 50;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик TSR 50.jpg;Столешница    500*500*30 Опора столешницы 750*150*150
Столик TSK 90;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик TSK 90.jpg;Столешница    900*400*30 Опора столешницы 900*120*120
Столик Кен;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик Кен.jpg;Столешница    800*800*30 Опора столешницы 750*150*150
Столик Сигма;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик Сигма.jpg;Столешница    1000*800*30 Опора столешницы 750*150*151  
Стол Ласточка;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Стол Ласточка.jpg;Столешница 100*60*5 Ножка стола: 25*60
Стол Тц 7;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Стол Тц 7.jpg;Столешница 60*60*4 Ножка стола: 25*25*86
Столик ТО 3 светло серый;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик ТО 3 светло серый.jpg;Столешница    30*600*500 Стойка столешницы 750*100*100
Столик ТО 4 светло серый;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик ТО 4 светло серый.jpg;Столешница    30*600*600 Стойка столешницы 750*250*250 Стойка разборная
Стол Тц 12 светло серый ;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Стол Тц 12 светло серый.jpg;Столешница    40*1000*600 Стойка столешницы 650*250*250 
Комплект ТО 3;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект ТО 3.jpg;Скамья 40*900*300 Стойка скамьи 410*250*70  Столешница    30*600*500 Стойка столешницы 750*100*100
Комплект  ТЦ 5;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект  ТЦ 5.jpg;Скамья 100*25*5 Стойка скамьи 50*25*5  Столешница    60*50*5 Стойка столешницы 70*10*10
Комплект ТО 4;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект ТО 4.jpg;Скамья 40*900*300 Стойка скамьи 410*150*150  Столешница    30*600*600 Стойка столешницы 750*250*250 Стойка р
Комплект ТО 5;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект ТО 5.jpg;Скамья 40*900*300 Стойка скамьи 410*150*150   Столешница    30*600*600 Стойка столешницы 750*250*250 Стойка разборная
Комплект TSK 50;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект TSK 50.jpg;Скамья 800*300*40 Опора скамьи 420*140*140  Столешница    500*500*30 Опора столешницы 750*150*150 
Комплект TSR 50;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект TSR 50.jpg;Скамья 800*300*40 Опора скамьи 420*140*140   Столешница    500*500*30 Опора столешницы 750*150*150
Комплект TSK 90;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект TSK 90.jpg;Скамья 900*300*30 Опора скамьи 450*120*120   Столешница    900*400*30 Опора столешницы 900*120*120
Комплект Кен;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект Кен.jpg;Скамья 1000*400*40   Опора скамьи 420*140*140  Столешница    800*800*30 Опора столешницы 750*150*150
Комплект Сигма;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект Сигма.jpg;Скамья 1000*400*40   Опора скамьи 420*140*141  ( 2 штуки) Столешница    1000*800*30 Опора столешницы 750*150*151 
Комплект Ласточка;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект Ласточка.jpg;Скамья 160*160.Ножка 1 и 3:30*30*30.Ножка 2:40*40*30  Столешница 100*60*5 Ножка стола: 25*60
Комплект Тц 7;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект Тц 7.jpg;Скамья 90*30.Ножка 15*15*41   Столешница 60*60*4 Ножка стола: 25*25*86
Комплект  ТО 3 светло серый;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект  ТО 3 светло серый.jpg;Скамья 40*900*300 Стойка скамьи 410*250*70  Столешница    30*600*500 Стойка столешницы 750*100*100
Комплект ТО 4 светло серый ;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект ТО 4 светло серый.jpg;Скамья 40*900*300 Стойка скамьи 410*150*150  Столешница    30*600*600 Стойка столешницы 750*250*250 Стойка р
Комплект Тц 12 светло серый ;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект Тц 12 светло серый.jpg;Скамья 130*30*4.Ножка 60*40*6    Столешница    40*1000*600 Стойка столешницы 650*250*250 
Лавочка железная;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Лавочка железная.jpg;Скамейка: 25х100х4 см, высота 100 см  Сечение ног: уголок 25*25 мм.
Лавочка деревянная;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Лавочка деревянная.jpg;Скамейка: 21х120х4 см, высота 100см  Сечение ног: профильная труба 40х40мм.
Столик железный;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик железный.jpg;Стол: 45*100х4 см, высота 150 см.  Сечение ног: уголок 25*25 мм.
Столик деревянный;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Столик деревянный.jpg;Стол: 50х50х4 см, высота 150см. Сечение ног: профильная труба 40х40мм.
Комплект металлические;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект металлические.jpg;Стол: 45*100х4 см, высота 150 см.Скамейка: 25х100х4 см, высота 100 см  Сечение ног: уголок 25*25 мм.
Комплект деревянные;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Комплект деревянные.jpg;Стол: 50х50х4 см, высота 150см.Скамейка: 21х120х4 см, высота 100см  Сечение ног: профильная труба 40х40мм.
